TIMESTAMP_END,LE_F_MDS,NETRAD,H_F_MDS
2018-07-05 05:30:00,19.2518,-8.921314,-0.79012
2018-07-05 06:00:00,44.3865,24.027071,0.380214
2018-07-05 06:30:00,48.5765,76.12026,19.9057
2018-07-05 07:00:00,67.4059,150.671233,50.141
2018-07-05 07:30:00,62.9987,228.200086,70.259
2018-07-05 08:00:00,91.8206,299.657947,91.2354
2018-07-05 08:30:00,145.585,367.783765,122.652
2018-07-05 09:00:00,178.062,429.656145,155.227
2018-07-05 09:30:00,206.226,487.190889,139.209
2018-07-05 10:00:00,165.815,537.913366,152.433
2018-07-05 10:30:00,201.471,577.214572,164.262
2018-07-05 11:00:00,218.285,610.037906,163.182
2018-07-05 11:30:00,221.928,634.205446,178.546
2018-07-05 12:00:00,271.134,648.579073,174.119
2018-07-05 12:30:00,292.379,648.910141,138.087
2018-07-05 13:00:00,347.918,641.30715,154.05
2018-07-05 13:30:00,245.34,621.258382,113.375
2018-07-05 14:00:00,250.987,591.292458,92.7291
2018-07-05 14:30:00,312.227,553.456422,106.795
2018-07-05 15:00:00,291.534,507.673701,72.8275
2018-07-05 15:30:00,235.965,450.451722,71.2978
2018-07-05 16:00:00,238.313,389.711624,49.8333
2018-07-05 16:30:00,179.899,320.761232,33.9509
2018-07-05 17:00:00,186.575,245.255396,16.8344
2018-07-05 17:30:00,145.326,163.852663,-4.65828
2018-07-05 18:00:00,108.129,94.283631,-14.3215
2018-07-05 18:30:00,59.821,37.589705,-9.66327
2018-07-05 19:00:00,81.9665,5.228841,-12.8225
2018-07-05 19:30:00,20.8717,-30.615256,-12.8889
2018-07-05 20:00:00,24.0575,-58.305261,-34.4023
2018-07-05 20:30:00,24.7718,-62.476778,-38.1503
2018-07-05 21:00:00,16.7066,-54.701109,-28.2186
2018-07-05 21:30:00,4.94387,-57.254889,-19.1901
2018-07-05 22:00:00,8.48556,-59.995732,-29.0184
2018-07-05 22:30:00,10.2385,-64.526037,-21.4927
2018-07-05 23:00:00,3.44159,-53.671641,-13.8285
2018-07-05 23:30:00,11.8221,-51.021994,-28.374
2018-07-06 00:00:00,18.9195,-56.472305,-40.5083
2018-07-06 00:30:00,17.8261,-49.771767,-38.3125
2018-07-06 01:00:00,17.8059,-42.513024,-35.3162
2018-07-06 01:30:00,16.6139,-38.382214,-28.3506
2018-07-06 02:00:00,13.6074,-39.70902,-22.4111
2018-07-06 02:30:00,7.14885,-31.811334,-9.14845
2018-07-06 03:00:00,2.8687,-26.734087,-2.56842
2018-07-06 03:30:00,5.82023,-24.371829,-4.734
2018-07-06 04:00:00,6.30111,-22.874977,-3.14817
2018-07-06 04:30:00,4.47597,-25.735955,-3.18415
2018-07-06 05:00:00,13.8658,-21.919434,-14.5869
2018-07-06 05:30:00,4.09222,-13.123215,-3.39183
2018-07-06 06:00:00,13.6235,13.086503,-2.39281
2018-07-06 06:30:00,36.2444,51.085354,-11.7847
2018-07-06 07:00:00,64.9049,65.6717,-15.3358
2018-07-06 07:30:00,65.6094,84.181221,-14.3489
2018-07-06 08:00:00,97.7622,111.916585,-13.4602
2018-07-06 08:30:00,76.8404,87.477223,-11.1479
2018-07-06 09:00:00,71.5834,109.883864,-2.78101
2018-07-06 09:30:00,64.9607,119.913968,4.52155
2018-07-06 10:00:00,161.91,327.463995,36.7038
2018-07-06 10:30:00,127.245,355.176957,26.1018
2018-07-06 11:00:00,211.14,612.23538,91.4773
2018-07-06 11:30:00,252.242,664.137903,140.479
2018-07-06 12:00:00,308.853,701.774622,112.399
2018-07-06 12:30:00,200.08,698.147286,118.389
2018-07-06 13:00:00,326.488,579.496754,90.0767
2018-07-06 13:30:00,363.137,615.008464,78.2973
2018-07-06 14:00:00,277.978,624.830471,83.0262
2018-07-06 14:30:00,290.824,668.842167,109.823
2018-07-06 15:00:00,385.194,600.700035,82.9867
2018-07-06 15:30:00,264.272,394.953372,27.3508
2018-07-06 16:00:00,272.366,377.42898,39.2543
2018-07-06 16:30:00,302.96,452.346196,23.5824
2018-07-06 17:00:00,292.011,332.561085,16.3219
2018-07-06 17:30:00,165.249,179.484813,-14.6966
2018-07-06 18:00:00,183.43,143.489866,-28.711
2018-07-06 18:30:00,121.686,77.5263,-32.5484
2018-07-06 19:00:00,80.9017,-11.057952,-48.2835
2018-07-06 19:30:00,40.1731,-52.549044,-37.6911
2018-07-06 20:00:00,27.3519,-64.344234,-44.3079
2018-07-06 20:30:00,20.7059,-63.908031,-29.2704
2018-07-06 21:00:00,30.1412,-62.610905,-37.4405
2018-07-06 21:30:00,15.0883,-62.692567,-24.6455
2018-07-06 22:00:00,13.8331,-54.054987,-23.0484
2018-07-06 22:30:00,16.7327,-53.209206,-31.0739
2018-07-06 23:00:00,18.1205,-55.103576,-30.9183
2018-07-06 23:30:00,17.7585,-58.863418,-31.4918
2018-07-07 00:00:00,6.00406,-57.257511,-19.206
2018-07-07 00:30:00,3.84539,-48.979041,-12.5107
2018-07-07 01:00:00,9.90693,-52.957797,-28.6289
2018-07-07 01:30:00,-0.751655,-47.474526,-6.70306
2018-07-07 02:00:00,5.36944,-57.994566,-26.9413
2018-07-07 02:30:00,19.9735,-64.786531,-50.9237
2018-07-07 03:00:00,5.67419,-65.057546,-16.7511
2018-07-07 03:30:00,1.35306,-60.813868,-1.14184
2018-07-07 04:00:00,1.6264,-55.800561,-6.78593
2018-07-07 04:30:00,1.3255,-56.105791,-12.6726
2018-07-07 05:00:00,3.82763,-55.522907,-18.2007
2018-07-07 05:30:00,12.803,-25.796575,-26.1542
2018-07-07 06:00:00,30.1817,22.183632,-17.1205
2018-07-07 06:30:00,84.3429,86.957964,-16.7328
2018-07-07 07:00:00,82.5302,156.426639,18.0958
2018-07-07 07:30:00,153.8,234.120227,9.02339
2018-07-07 08:00:00,166.013,306.980541,30.7639
2018-07-07 08:30:00,206.108,374.311001,48.5335
2018-07-07 09:00:00,227.822,438.982923,68.1755
2018-07-07 09:30:00,241.491,498.572818,70.2572
2018-07-07 10:00:00,371.982,549.192713,99.1165
2018-07-07 10:30:00,281.367,592.995735,94.1173
2018-07-07 11:00:00,285.609,630.972946,119.15
2018-07-07 11:30:00,309.613,656.31201,123.179
2018-07-07 12:00:00,320.108,669.055683,117.371
2018-07-07 12:30:00,335.179,673.249836,91.1426
2018-07-07 13:00:00,328.976,681.181101,84.0112
2018-07-07 13:30:00,319.641,633.430981,60.4972
2018-07-07 14:00:00,437.257,619.241735,65.3929
2018-07-07 14:30:00,341.365,551.776519,35.0516
2018-07-07 15:00:00,372.494,487.891145,-7.83559
2018-07-07 15:30:00,391.914,544.898506,29.841
2018-07-07 16:00:00,316.79,343.514092,-3.24342
2018-07-07 16:30:00,263.375,379.914627,20.9109
2018-07-07 17:00:00,242.141,223.545211,-31.5781
2018-07-07 17:30:00,211.676,181.67033,-46.5751
2018-07-07 18:00:00,168.754,83.05195,-61.8104
2018-07-07 18:30:00,100.371,27.377857,-46.1814
2018-07-07 19:00:00,43.8524,-19.647628,-20.3168
2018-07-07 19:30:00,23.8527,-58.615406,-11.2453
2018-07-07 20:00:00,10.4265,-70.48741,-16.8458
2018-07-07 20:30:00,5.23801,-64.631154,-14.4496
2018-07-07 21:00:00,12.572,-67.989331,-15.3506
2018-07-07 21:30:00,1.9709,-62.128913,-7.74749
2018-07-07 22:00:00,9.03638,-62.573689,-6.32805
2018-07-07 22:30:00,-1.96053,-59.848397,-9.43254
2018-07-07 23:00:00,7.9892,-58.46336,-18.649
2018-07-07 23:30:00,0.851191,-58.558483,-6.44213
2018-07-08 00:00:00,0.771244,-59.001594,11.5485
2018-07-08 00:30:00,-2.66703,-56.967988,-4.45475
2018-07-08 01:00:00,3.61792,-62.845553,-21.2127
2018-07-08 01:30:00,9.77276,-68.076888,-28.828
2018-07-08 02:00:00,7.16054,-66.100017,-22.8643
2018-07-08 02:30:00,12.2411,-71.798685,-34.0681
2018-07-08 03:00:00,3.78418,-67.890407,-17.7317
2018-07-08 03:30:00,5.37608,-64.545381,-12.8105
2018-07-08 04:00:00,-9.47281,-61.697387,-15.4269
2018-07-08 04:30:00,7.48067,-61.059694,-17.2309
2018-07-08 05:00:00,-5.68792,-54.197881,0.002888
2018-07-08 05:30:00,23.7343,-22.955716,-33.0209
2018-07-08 06:00:00,-1.18421,20.268829,-4.69513
2018-07-08 06:30:00,56.9478,79.946881,-16.0207
