Site_ID,Latitude,Longitude,MAT,MAP,Annual_coverage,Soil_BD,Rs_annual
US-HET-SPE1024,19.94480556,-155.2622778,16.7,4043.0,1.0,0.19,1860.0
BR-HUM-MAT2,-9.84,-67.78,26.0,1940.0,0.01,1.25,1770.0
CN-XLR-STP,44.09,115.91000000000001,1.5,250.0,1.0,1.33,128.66666666666666
CN-SMY-DXM,38.77,110.37,8.4,437.0,0.67,1.52,438.98
AU-RMK-UCCK,-34.0,140.966,17.5,242.0,1.0,1.6,598.0
CN-YN-RUBUP,22.2,100.63,19.0,1490.0,1.0,1.06,480.06
CN-ESR-T,28.26,116.93,17.6,1795.0,1.0,1.26,581.0
ID-KAL-FL1,2.3,114.0,26.3,2235.0,1.0,0.13,1462.92
ID-SAR-MATRCK,2.78,111.83,34.5,2928.0,1.0,1.5,436.0
CN-NCP-50N,37.88,114.68,12.5,480.0,0.91,1.47,381.9
CN-PFF-15YR,43.75,81.15,8.55,310.70000000000005,0.33,1.205,1695.0
US-SNM,38.9,-120.63,16.3,559.0,1.0,1.6,488.0
FR-HEF,48.67,7.08,9.457142857142856,885.7142857142857,0.91,0.85,681.2857142857143
US-UWA-REM,43.03,-89.43,7.5,928.0,1.0,0.89,1247.0
CN-BTM-48YR,33.5,112.0,15.1,900.0,1.0,0.66,659.0
CN-SN-CK,34.96714285714286,107.81271428571428,10.276923076923076,579.5769230769231,0.8578571428571429,1.3,632.5354545454546
ES-DDE-CK,39.98333333,-5.133333333,15.3,572.0,0.58,1.12,742.0
CN-QERC-SP3,26.73,115.05,6.4,1469.0,1.0,1.4,789.1
US-MIC-TPK,5.29,163.03,27.0,5000.0,1.0,0.11,479.0
CN-TNF-50N,29.86666667,121.65,16.0,1374.0,1.0,1.13,1324.4
CN-XGN,43.54,116.55,-0.5,400.0,1.0,1.325,135.5
CN-ZCE-709N,31.0,110.5,18.0,1164.0,1.0,1.49,213.0
CN-DBR-REH5N,23.17,112.17,21.4,1927.0,1.0,1.22,622.0
CN-XFF-2600M,38.0,99.0,0.5,435.0,0.54,0.565,582.0
CN-XHH-ENF,30.52,120.17,16.7,1410.0,0.83,1.08,429.56
CN-TRI-LP,30.23,120.15,17.0,1533.0,1.0,1.18,430.0
CN-NCP-CK,37.88,114.68,12.5,480.0,0.91,1.47,498.6
CN-ZJ-LP,30.41,119.86,15.9,1450.0,1.0,1.17,952.1597
US-UWA-RES,43.03,-89.43,7.5,928.0,1.0,1.18,1409.3333333333333
CN-AYH-NOG,36.5,114.2,14.0,700.0,0.75,1.51,264.66
US-FCO-WHEAT,40.6,-105.1,8.9,385.0,1.0,1.27,500.0
BE-LOC-CRO,51.11222222,3.850555556,9.5,726.0,0.9,1.5,496.0
CA-CAR-CHMB1,49.85,-125.32,8.6,1452.0,1.0,1.35,2210.0
BF-CRS-CS,11.15,-3.083333333,29.5,926.0,0.5,1.52,350.5
ID-KAL-CL2,2.3,114.0,26.3,2235.0,1.0,0.38,2768.16
CA-CAR-CHMB5,49.85,-125.32,8.6,1452.0,1.0,1.35,1900.0
CN-XEF-I,26.19,117.43,19.1,1749.0,1.0,0.93,1423.0
KR-HEL-US,37.46444444,127.0878667,13.5,1473.0,1.0,0.86,1252.0
CN-HSQ-WOOD,30.0,114.0,16.8,1577.0,1.0,1.23,145.0
CN-XLR-GRANDIS,43.58888889,116.5541667,-1.3999999999999997,450.0,1.0,1.12,184.8166666666667
US-WA-IRG,46.89638889,-122.735,10.5,1196.0,1.0,0.82,858.0
CN-BNR-PINUS,33.5,111.9,15.1,900.0,1.0,0.69,761.0
US-JSJ-WOOD,33.81,-116.78,10.3,507.0,1.0,0.9,1022.0
ID-SLS-SWAMP,-1.5,103.6,26.0,2490.0,0.46,0.28,980.0
CN-ZCE-732N,31.0,110.5,18.0,1164.0,1.0,1.29,259.0
RU-MSC-SPRUCE,55.708,37.526,5.0,689.2,0.7475,1.1,602.9875
CN-QH-WARM,36.95,100.84999999999998,1.34,408.45,0.58,0.9499999999999998,1506.33
BE-DIF-PINEOAK,51.3,4.52,9.8,750.0,1.0,1.2,610.0
CN-BTM-40YR,33.5,112.0,15.1,900.0,1.0,0.73,624.0
IE-SWI-LP15CM,52.3,-9.15,6.6,1600.0,0.91,0.11,370.295
US-TAE-FOR80YR,27.67,-98.2,22.4,716.0,1.0,1.09,780.0
US-BRF-CTSWS,30.53,-94.43,20.0,978.0,1.0,1.42,585.0
MX-CDP-CRO,19.53,-96.99,19.3,2081.0,1.0,0.61,672.0
CN-SN-N2,35.575,110.08500000000001,6.2,770.0,0.54,1.15,1018.35
CN-BNF-Q10,40.01666667,116.3833333,10.0,600.0,0.75,1.62,475.0
US-TAE-FOR40YR,27.67,-98.2,22.4,716.0,1.0,1.27,683.0
CN-SN-SB2,37.73,112.37,10.0,478.0,0.82,1.43,1016.82
CA-AB-ELL1,53.4,-113.55,2.8,342.0,0.33,1.16,674.0
TH-CURC,13.68,101.07,28.1,1328.0,1.0,1.6,1870.0
CN-YAE-FOR,31.27,105.47,17.3,826.0,1.0,1.42,602.0
CN-ESR-G,28.26,116.93,17.6,1795.0,1.0,1.19,775.0
CN-BJ-NF,40.225,116.1165,11.0,1330.0,1.0,1.6,1728.687
CN-HFB-CAMPHORCK,28.10833333,113.0416667,17.2,1450.0,1.0,1.5,1196.0
CA-OTR-BEE,43.54111111,-80.20888889,7.2,833.0,0.5,1.21,625.0
CN-XEF-V,26.19,117.43,19.1,1749.0,1.0,1.1,1045.0
ES-NPC-IRO,42.27,2.97,15.5,450.0,1.0,1.36,1265.0
CA-CAR-CHMB6,49.85,-125.32,8.6,1452.0,1.0,1.35,1260.0
US-COR-CK,39.468055555,-103.9261111,12.7,1242.0,1.0,0.6,1039.0
CN-HBS,37.5,101.226,-1.7,580.0,1.0,0.8959999999999999,595.0
DE-UNT-COM,52.83,10.28,8.4,837.0,0.67,1.6,640.0
IT-PCC-HEAT,40.61666667,8.166666667,16.8,640.0,1.0,1.1,1036.3333333333333
KR-GWF-QUERCUS,37.991666665,127.21683335,11.4,1435.0,1.0,1.12,714.75
CN-BTM-QVS,33.47,111.92,15.1,900.0,1.0,0.99,899.5
CN-GS-RTMONO3,37.96,102.64,7.2,156.0,1.0,1.4,449.81999999999994
ZA-PTZ-CK,-30.4,24.4,16.0,694.0,1.0,1.0,681.18
CN-DBR-DISCK,23.17,112.17,21.4,1927.0,1.0,1.16,578.0
CN-LCH-CK,37.88,114.68,12.4,460.0,1.0,1.27,397.85
ES-GAR,41.3,1.8083333335,15.75,568.0,1.0,0.77,439.24
CN-TLS-SHR,37.73,112.42,10.0,478.0,0.83,1.37,1423.3233333333335
US-WA-HEATIRG,46.89638889,-122.735,10.5,1196.0,1.0,0.82,1064.0
CN-BJ,40.08333333,116.4166667,15.0,622.6,1.0,1.44,1462.0
CN-DMN-MF,23.17,112.53,20.8,1956.0,1.0,1.1,933.0
US-KRR-HIGHBIOM,49.42,-119.12,5.7,660.0,1.0,0.98,849.0
ES-SW-FOR,37.35,-5.93,19.0,565.7,1.0,1.16,1051.2
CN-JX-HN,26.744,115.059,17.9,1505.0,1.0,1.54,424.5096
CN-YAE,31.27,105.47,17.3,826.0,1.0,1.42,627.0
UK-AHR-YR3,51.15,-0.85,9.8,808.0,1.0,0.7,886.9
CN-HEN-WHEAT3,34.82,114.28,14.3,627.0,1.0,1.31,809.0
CN-QES-WMM,36.87,115.02,13.199999999999998,494.0,1.0,1.37,1075.3333333333333
CN-HAF-MID,24.92,118.92,19.8,1250.0,1.0,1.24,1468.33
CN-NCP-100N,37.88,114.68,12.5,480.0,0.91,1.47,464.0
IE-SWI-SP35CM,52.3,-9.16,6.6,1600.0,0.91,0.12,513.635
CN-NCP-150N,37.88,114.68,12.5,480.0,0.91,1.47,388.0
ID-KAL-FL2,2.3,114.0,26.3,2235.0,1.0,0.12,823.44
IN-JHA-8YR,23.7,84.99,23.0,975.0,1.0,1.71,903.42
CN-BTM-BBM,33.47,111.92,15.1,900.0,1.0,1.01,912.19
CH-AC2,-40.17,-73.44,7.26,4860.0,1.0,0.7,722.5
CN-SN-N3,35.575,110.08500000000001,6.2,770.0,0.54,1.1,1120.55
CN-GS-RT1INT,37.96,102.64,7.2,156.0,1.0,1.4,355.32
NO-END-SALIX,78.0,19.0,-5.7,180.0,0.33,0.9,176.0
IN-MOH-SHR,33.0,73.0,23.0,1069.0,1.0,1.41,345.0
CN-QSF-CL,31.67,121.5,15.3,1003.7,1.0,1.26,1010.0
CN-XEF-VI,26.19,117.43,19.1,1749.0,1.0,1.2,509.0
CN-GS-RT3INT,37.96,102.64,7.2,156.0,1.0,1.4,294.84
FI-LIA-PESBSV,62.5,30.5,2.1,669.0,0.5,0.18,92.0
CN-HE-N1T,37.88,114.7,12.4,460.0,1.0,1.27,569.4
US-KPB-CK,39.083148145,-96.57949073833333,13.0,838.5,0.6,1.1,1510.0
CN-ZCE-699N,31.0,110.5,18.0,1164.0,1.0,1.54,147.0
CN-GS-N,36.03,104.41,6.5,305.0,1.0,1.22,642.4
CN-SMY-SLL,38.77,110.37,8.4,437.0,0.67,1.31,367.08
CN-DMN-BF,23.17,112.53,20.8,1956.0,1.0,0.86,590.0
IE-SWI-SP15CM,52.3,-9.16,6.6,1600.0,0.91,0.12,465.855
IT-ROC,42.4,11.92,14.0,755.0,1.0,1.22,1097.0
CN-XIN-DLAND,30.03,114.37,16.8,577.0,1.0,1.23,172.0
US-LAB-S2,39.77,-86.18,11.3,1095.0,1.0,1.1,780.0
CN-SC-LN,29.53,103.25,10.0,2323.0,1.0,0.4,520.4
BR-SP-CK,-22.062,-47.64275,21.4,1019.845,0.5066666666666667,1.5,488.0
CN-QERC-SP2,26.73,115.05,6.4,1469.0,1.0,1.4,789.1
CN-AYH-ABN,36.5,114.2,14.0,700.0,0.75,1.51,131.18
CN-HNR-CK,26.8,109.6,16.5,1200.0,1.0,1.23,511.0
CN-HT-CT,26.67,109.43,16.5,1200.0,1.0,1.43,620.5
CN-XFF-2900M,38.0,99.0,0.04999999999999999,435.0,0.54,0.73,514.0
IE-SWI-SPCK,52.3,-9.16,6.6,1600.0,0.91,0.12,1015.325
CA-AB-SA,53.7,-113.63,2.8,450.0,0.33,1.15,586.0
UK-AHR-THIN9YR4,51.15,-0.85,9.8,808.0,1.0,0.7,663.2
BR-CNF-SANDY,-1.72,-51.46,25.7,2272.0,1.0,1.49,1487.0
CN-JX-N140,26.73,115.05,17.9,1505.0,1.0,1.54,434.0
CN-JX-A120,26.73,115.05,17.9,1505.0,1.0,1.54,512.0
US-LEF-LOW50N,18.3,-65.8,23.0,3500.0,0.25,0.75,1022.0
US-SOR-IRG,42.27805556,-123.6427778,12.3,1434.0,1.0,1.04,967.0
BE-DIF-OAKM,51.3,4.52,9.8,750.0,1.0,1.4,750.0
CN-GS-RTMONCK,37.96,102.64,7.2,156.0,1.0,1.4,476.28000000000003
CN-HLJ-NPK,47.43,126.62,1.9,556.0,1.0,1.0,389.0
US-SC-YT,31.27,105.48,17.3,826.0,1.0,1.33,462.8
CN-XIN-PLANT,30.03,114.37,16.8,577.0,1.0,1.24,226.0
CN-TB-CK,35.50727272727273,97.11,-1.481818181818182,426.73636363636365,0.7209090909090908,0.9433333333333334,762.6283333333334
CN-CWS,35.2,105.09857142857143,9.4,563.7142857142857,1.0,1.3,265.87857142857143
BE-DIF-PINEM,51.3,4.52,9.8,750.0,1.0,1.2,510.0
US-LEF-SF,18.3,-65.83,22.3,3920.0,0.92,0.61,947.5
UK-AHR-THIN9YR5,51.15,-0.85,9.8,808.0,1.0,0.7,573.8
CA-AB-LIN2,54.2,-114.15,3.4,491.0,0.33,1.46,612.0
ES-MD-VT,40.05,-3.52,14.0,350.0,1.0,1.36,142.345
US-STC-1994C4,42.18,-93.5,9.2,865.0,1.0,1.27,1260.0
UK-AHR-THIN7AYR4,51.15,-0.85,9.8,808.0,1.0,0.7,1262.2
ID-KAL-OP07FT,-2.791,111.8,27.0,2058.0,1.0,0.34,1020.0
